container 1, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,container 2, Duration starting up the application container, Duration starting up the JVM, Duration starting up Tomcat server, Duration finalizing spring boot startup, Duration finish first task,Duration finish 1000 tasks,Total time, During Difference Creation time first container, Total time since first container,Total time 1000 tasks since container 1,,
,693,9851,40559,395,14695, 0, 66193,0, 66193,0,,699,9491,42595,311,13095, 0, 66191,1, 66192,0,,
,582,9406,41977,394,9197, 0, 61556,0, 61556,0,,521,9523,41786,302,7705, 0, 59837,19, 59856,0,,
,628,9308,41702,407,11103, 0, 63148,0, 63148,0,,606,9660,41561,312,10993, 0, 63132,14, 63146,0,,
,531,9213,41084,402,9402, 0, 60632,0, 60632,0,,499,9660,43268,388,16598, 0, 70413,13, 70426,0,,
,550,9049,41964,300,10507, 0, 62370,0, 62370,0,,533,9235,42179,402,10198, 0, 62547,28, 62575,0,,
,592,9103,42098,493,10813, 0, 63099,0, 63099,0,,612,9883,43655,307,8614, 0, 63071,32, 63103,0,,
,652,10112,42605,393,9807, 0, 63569,0, 63569,0,,618,10027,43194,381,9810, 0, 64030,38, 64068,0,,
,649,9260,40553,308,9898, 0, 60668,0, 60668,0,,726,9063,41154,305,9403, 0, 60651,16, 60667,0,,
,508,9046,39378,203,7896, 0, 57031,0, 57031,0,,492,9037,39171,306,8009, 0, 57015,21, 57036,0,,
,492,8721,41104,407,14185, 0, 64909,0, 64909,0,,489,9760,42669,400,13496, 0, 66814,5, 66819,0,,
,690,9257,43067,301,3503, 0, 56818,0, 56818,0,,675,9213,43816,390,10024, 0, 64118,12, 64130,0,,
,582,9862,40469,385,10904, 0, 62202,0, 62202,0,,584,9829,42473,498,5812, 0, 59196,7, 59203,0,,
,756,9622,42007,393,10919, 0, 63697,0, 63697,0,,740,9741,43185,502,9512, 0, 63680,16, 63696,0,,
,710,9713,42179,399,7602, 0, 60603,0, 60603,0,,713,9883,41895,204,7397, 0, 60092,10, 60102,0,,
,477,9416,39895,184,8698, 0, 58670,0, 58670,0,,429,9753,42664,317,4691, 0, 57854,13, 57867,0,,
,513,9336,41191,298,7410, 0, 58748,0, 58748,0,,517,9841,42679,394,5390, 0, 58821,1, 58822,0,,
,544,9882,42123,481,6919, 0, 59949,0, 59949,0,,538,10048,42647,395,5897, 0, 59525,2, 59527,0,,
,517,9117,40910,496,5408, 0, 56448,0, 56448,0,,497,9102,41721,392,4706, 0, 56418,26, 56444,0,,
,587,9137,41689,297,4991, 0, 56701,0, 56701,0,,578,9443,41778,404,4302, 0, 56505,13, 56518,0,,
,611,9643,39175,394,9791, 0, 59614,0, 59614,0,,613,9344,41374,399,5984, 0, 57714,0, 57714,0,,
,627,9454,43151,311,8421, 0, 61964,0, 61964,0,,597,9652,43475,306,15800, 0, 69830,16, 69846,0,,
